,Ref to signal ratio,Pulse type,Amplitude,Phase,Q,P,Bob's quadrature,Bob's quadrature value,alpha,T_eff,Rotated Q,Rotated P,Ultimate state,Alice bits,Linear difference
133,4,ref,1.0,0.0,1.0,0.0,P,0.0963136427233758,0.1219563944485048,0.791699437978252,0.7858191155224172,0.09631364272337581,-,-,-
134,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2207250027871094,0.1219563944485048,0.791699437978252,-0.21754179652834862,-0.13967911070674008,-0.21754179652834862,011001000010,0.0031832062587607846
135,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1393795293043307,0.1219563944485048,0.791699437978252,-0.13967911070674008,0.21754179652834865,-0.13967911070674008,011011100010,-0.0002995814024093768
136,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2346625029667969,0.1219563944485048,0.791699437978252,-0.21754179652834862,-0.13967911070674008,-0.21754179652834862,011001000010,0.017120706438448263
137,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1428755923700787,0.1219563944485048,0.791699437978252,-0.13967911070674008,0.21754179652834865,-0.13967911070674008,011011100010,0.003196481663338635
138,2,ref,1.0,0.0,1.0,0.0,Q,0.7854360394761442,0.12677335132307116,0.7917901434026693,0.785436039476144,0.1001092357460019,-,-,-
139,4,ref,1.0,0.0,1.0,0.0,P,0.1001092357460019,0.12677335132307116,0.7917901434026693,0.785436039476144,0.1001092357460019,-,-,-
140,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2202875028027344,0.12677335132307116,0.7917901434026693,-0.21689129356730627,-0.1407414985983624,-0.21689129356730627,011001000100,0.0033962092354281326
141,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1407338600582677,0.12677335132307116,0.7917901434026693,-0.1407414985983624,0.2168912935673063,-0.1407414985983624,011011011111,-7.638540094695445e-06
142,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.2353187529804687,0.12677335132307116,0.7917901434026693,-0.21689129356730627,-0.1407414985983624,-0.21689129356730627,011001000100,0.018427459413162428
143,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1438519703464566,0.12677335132307116,0.7917901434026693,-0.1407414985983624,0.2168912935673063,-0.1407414985983624,011011011111,0.0031104717480942012
144,2,ref,1.0,0.0,1.0,0.0,Q,0.7851102561160974,0.12765711604653132,0.7915511954246165,0.7851102561160974,0.10077291659694788,-,-,-
145,4,ref,1.0,0.0,1.0,0.0,P,0.1007729165969479,0.12765711604653132,0.7915511954246165,0.7851102561160974,0.10077291659694788,-,-,-
146,-,signal,0.3265431841527176,-2.6927620644492753,-0.29420076018305985,-0.1416910859027671,Q,-0.219725002765625,0.12765711604653132,0.7915511954246165,-0.21670141019466216,-0.14089059341117557,-0.21670141019466216,011001000100,0.003023592570962852
147,-,signal,0.3265431841527176,2.0196269159354143,-0.14169108590276708,0.2942007601830599,Q,-0.1409858285519684,0.12765711604653132,0.7915511954246165,-0.14089059341117557,0.2167014101946622,-0.14089059341117557,011011011111,9.523514079282092e-05
